,rank_test_score,mean_test_score,mean_train_score,param_learning_rate,param_gamma,param_n_estimators,param_reg_lambda,param_max_depth
63,109,0.8040642023920103,0.999970681399377,0.5,4,500,0.8,6
131,110,0.803002337333323,0.9906776585051471,0.5,8,100,0.8,6
130,111,0.8027190609791794,0.9918295049509758,0.5,8,100,0.5,6
139,112,0.8026294288308782,0.9944385024366132,0.5,8,100,0.8,10
132,113,0.8017499450254411,0.998638928930577,0.5,8,500,0.05,6
62,114,0.7998996296304639,0.9999709171355939,0.5,4,500,0.5,6
71,115,0.7994541362005982,0.9999615400727384,0.5,4,500,0.8,10
133,116,0.7993502070872819,0.9986169006907403,0.5,8,500,0.08,6
138,117,0.797144951528181,0.9953980798045324,0.5,8,100,0.5,10
60,118,0.7970360195684809,0.9999787662785243,0.5,4,500,0.05,6
61,119,0.7936436575371617,0.9999874710566129,0.5,4,500,0.08,6
128,120,0.7934943055472101,0.9942692176398651,0.5,8,100,0.05,6
59,121,0.7932343932714667,0.9991733080107235,0.5,4,100,0.8,6
140,122,0.7912542832615813,0.9990154782479295,0.5,8,500,0.05,10
141,123,0.7902543251527803,0.9988196687612791,0.5,8,500,0.08,10
129,124,0.7900816702012257,0.9944553881345299,0.5,8,100,0.08,6
58,125,0.7895150258177432,0.9993466701709293,0.5,4,100,0.5,6
67,126,0.7887366204635904,0.999796018324492,0.5,4,100,0.8,10
70,127,0.788511815422244,0.9999808180567097,0.5,4,500,0.5,10
56,128,0.7863311419119977,0.9996123885423887,0.5,4,100,0.05,6
57,129,0.7823272975956181,0.9996149030620372,0.5,4,100,0.08,6
136,130,0.7816019852761255,0.9974074385672729,0.5,8,100,0.05,10
137,131,0.7807053232852429,0.9968931101620313,0.5,8,100,0.08,10
66,132,0.7793516691756858,0.9998853361578375,0.5,4,100,0.5,10
68,133,0.7785419021736957,0.9999872265894247,0.5,4,500,0.05,10
69,134,0.7781593590447509,0.9999901340027684,0.5,4,500,0.08,10
3,135,0.7750583145918675,0.8230208953614254,0.02,4,100,0.8,3
75,136,0.7749233381456699,0.8225315375332481,0.02,8,100,0.8,3
2,137,0.7744503945429755,0.8233572734812,0.02,4,100,0.5,3
74,138,0.7742907531036987,0.8229454466755161,0.02,8,100,0.5,3
1,139,0.7739975321735846,0.8235575313975758,0.02,4,100,0.08,3
0,140,0.773565781292075,0.8237978120850225,0.02,4,100,0.05,3
73,141,0.7734496375503277,0.8234879673861213,0.02,8,100,0.08,3
72,142,0.7733195810062894,0.823664154015446,0.02,8,100,0.05,3
64,143,0.7698289693582906,0.9999230277596509,0.5,4,100,0.05,10
65,144,0.7660046861915276,0.9999370235061662,0.5,4,100,0.08,10
